Palavra,Descoberta,Letras passadas,Tamanho,Letras diferentes,Num de letras faltando,Letras faltando,Percentual letras diferentes descobertas
manobra,"['m', 'a', 'n', '_', '_', 'r', 'a']","['a', 'r', 'c', 't', 'l', 'n', 'm', 'e', 'd']",7,4,2,"['b', 'o']",0.3333333333333333
zurrarei,"['_', '_', 'r', 'r', 'a', 'r', 'e', 'i']","['a', 'r', 'e', 's', 'i', 'o', 'b', 'c', 'f']",8,4,2,"['z', 'u']",0.3333333333333333
lavei,"['_', 'a', 'v', 'e', 'i']","['a', 's', 'r', 'm', 'i', 'e', 'c', 'v', 'h']",5,4,1,['l'],0.2
uivem,"['_', 'i', '_', 'e', 'm']","['a', 'e', 'm', 'o', 'r', 'i', 't', 'l']",5,3,2,"['u', 'v']",0.4
azules,"['a', '_', 'u', 'l', 'e', 's']","['a', 'e', 'i', 's', 'r', 'u', 'd', 'c', 'l', 'n']",6,5,1,['z'],0.16666666666666666
insularam,"['i', 'n', '_', '_', '_', 'a', 'r', 'a', 'm']","['a', 'r', 'e', 'o', 'm', 'i', 'n', 'c', 'd', 'f']",9,5,3,"['l', 'u', 's']",0.375
afixe,"['a', 'f', 'i', '_', 'e']","['a', 'e', 'i', 't', 'l', 'm', 'v', 'f', 'n']",5,4,1,['x'],0.2
iene,"['_', 'e', '_', 'e']","['a', 'o', 'e', 'l', 'd', 'r']",4,1,2,"['i', 'n']",0.6666666666666666
garota,"['_', 'a', 'r', 'o', '_', 'a']","['a', 'r', 'i', 'e', 'p', 'o', 'c', 'f']",6,3,2,"['t', 'g']",0.4
piada,"['_', '_', 'a', 'd', 'a']","['a', 'r', 'c', 'd', 'e', 't', 's']",5,2,2,"['p', 'i']",0.5
fumegaste,"['_', '_', '_', 'e', '_', 'a', 's', 't', 'e']","['a', 'r', 's', 'e', 't', 'n', 'l', 'c', 'j']",9,4,4,"['f', 'u', 'm', 'g']",0.5
jazo,"['_', 'a', '_', 'o']","['a', 'o', 'c', 't', 'r', 'g', 'n']",4,2,2,"['z', 'j']",0.5
anexai,"['a', '_', '_', '_', 'a', 'i']","['a', 'i', 'l', 't', 'r', 'f', 's']",6,2,3,"['x', 'n', 'e']",0.6
apalpado,"['a', '_', 'a', '_', '_', 'a', 'd', 'o']","['a', 'r', 's', 'o', 'm', 'd', 'h', 'i']",8,3,3,"['l', 'p']",0.4
espumo,"['e', 's', '_', 'u', '_', 'o']","['a', 'e', 'o', 's', 't', 'c', 'r', 'u', 'i']",6,4,2,"['m', 'p']",0.3333333333333333
injetadas,"['_', 'n', '_', 'e', '_', 'a', 'd', 'a', 's']","['a', 'r', 's', 'v', 'd', 'e', 'l', 'c', 'n', 'f']",9,5,3,"['j', 't', 'i']",0.375
agua,"['a', '_', '_', 'a']","['a', 'r', 'l', 'i', 't', 's']",4,1,2,"['u', 'g']",0.6666666666666666
